id,ppgG,ppgIR,ppgR,statusG,statusIR,statusR,timestamp
1,199826,476803,490660,0,0,0,1748698241166
2,199678,476979,490863,0,0,0,1748698241206
3,199680,477021,490889,0,0,0,1748698241246
4,199556,477131,491003,0,0,0,1748698241286
5,199449,477493,491292,0,0,0,1748698241326
6,199546,478122,491892,0,0,0,1748698241366
7,199726,478847,492498,0,0,0,1748698241406
8,199982,479359,492887,0,0,0,1748698241446
9,200218,479699,536772,0,0,0,1748698241486
10,20077,748828,565021,0,0,0,1748698241526
11,20195,749214,565117,0,0,0,1748698241566
12,20292,749604,565344,0,0,0,1748698241606
13,20522,750007,565504,0,0,0,1748698241646
14,20696,1545300,993703,0,0,0,1748698241686
15,7802,1508015,1109936,0,0,0,1748698241726
16,8156,1508405,1110304,0,0,0,1748698241766
17,8471,1508562,1110380,0,0,0,1748698241806
18,8494,1508331,1110174,0,0,0,1748698241846
19,8499,7528582,5531344,0,0,0,1748698241886
20,45019,7532750,5539771,0,0,0,1748698241926
21,46227,7532017,5539379,0,0,0,1748698241966
22,47059,7531863,5539801,0,0,0,1748698242006
23,48036,7532008,5540583,0,0,0,1748698242046
24,48770,7531692,5541133,0,0,0,1748698242086
25,49222,7532465,5542351,0,0,0,1748698242126
26,50690,7537452,5546134,0,0,0,1748698242166
27,52306,7537143,5545453,0,0,0,1748698242206
28,54171,7535623,5543949,0,0,0,1748698242246
29,57048,7536484,5544798,0,0,0,1748698242286
30,60872,7533971,5543986,0,0,0,1748698242326
31,64829,7535197,5547945,0,0,0,1748698242366
32,67823,7525022,5545321,0,0,0,1748698242406
33,67273,7515255,5538947,0,0,0,1748698242446
34,65708,7508091,5535307,0,0,0,1748698242486
35,63985,7501643,5530901,0,0,0,1748698242526
36,63098,7499559,5530244,0,0,0,1748698242566
37,63066,7497092,5529137,0,0,0,1748698242606
38,62797,7494912,5528070,0,0,0,1748698242646
39,62398,7491845,5525996,0,0,0,1748698242686
40,61937,7488600,5523913,0,0,0,1748698242726
41,61662,7486470,5522908,0,0,0,1748698242766
42,61472,7486155,5523243,0,0,0,1748698242806
43,61591,7485353,5522855,0,0,0,1748698242846
44,61509,7483029,5520654,0,0,0,1748698242886
45,61433,7478869,5516739,0,0,0,1748698242926
